id,latitude,longitude,neighbourhood_cleansed
48658878,49.89801,-97.13544,Point Douglas
48722120,49.77909,-97.2138,Waverley West
48759146,49.80099,-97.18431,Waverley West
48773699,49.82449,-97.05235,St. Vital
48807617,49.89434,-97.14558,Daniel McIntyre
48808772,49.89669,-97.13774,Point Douglas
48813785,49.96459,-97.132,Old Kildonan
48832436,49.89707,-97.13605,Point Douglas
48870045,49.82437,-97.05608,St. Vital
48871846,49.89829,-97.13583,Point Douglas
48889521,49.89464,-97.14562,Daniel McIntyre
48904808,49.92407,-97.12405,Mynarski
48905222,49.89929,-97.13525,Point Douglas
48922600,49.82504,-97.05599,St. Vital
48922996,49.82424,-97.05561,St. Vital
48941638,49.9278,-97.14435,Mynarski
48959130,49.88761,-97.18159,Daniel McIntyre
49028871,49.86286,-97.14299,Fort Rouge - East Fort Garry
49052189,49.88861,-97.14038,Fort Rouge - East Fort Garry
49052563,49.82818,-97.03975,St. Vital
49108945,49.91001,-97.11396,Elmwood - East Kildonan
49126324,49.87204,-97.08464,St. Boniface
49145135,49.8529,-97.14066,St. Vital
49150865,49.78023,-97.19495,Waverley West
49160071,49.7786,-97.2009,Waverley West
49160669,49.77864,-97.20217,Waverley West
49194336,49.89107,-97.1408,Fort Rouge - East Fort Garry
49199398,49.82398,-97.14736,River Heights - Fort Garry
49207246,49.88971,-97.14152,Fort Rouge - East Fort Garry
49322050,49.89867,-97.13602,Point Douglas
49346729,49.90701,-97.12354,Mynarski
49503565,49.82421,-97.05189,St. Vital
49517750,49.82287,-97.05189,St. Vital
49518311,49.82425,-97.05289,St. Vital
49628666,49.89466,-97.14583,Daniel McIntyre
49716200,49.8795,-97.14129,Fort Rouge - East Fort Garry
49749631,49.89101,-97.13937,Fort Rouge - East Fort Garry
49907603,49.91625,-97.10826,Elmwood - East Kildonan
49961906,49.87607,-97.14765,Fort Rouge - East Fort Garry
49980682,49.87966,-97.1104,St. Boniface
50035194,49.89287,-97.14529,Fort Rouge - East Fort Garry
50045534,49.84675,-97.11205,St. Vital
50053749,49.79074,-97.1543,St. Norbert - Seine River
50085065,49.88819,-97.13894,Fort Rouge - East Fort Garry
50247259,49.89377,-97.15934,Daniel McIntyre
50262474,49.90001,-97.15948,Daniel McIntyre
50262688,49.89727,-97.15985,Daniel McIntyre
50262792,49.89821,-97.15694,Daniel McIntyre
